Name,Address,Rating,Website,Price Level,City,State,Website_name
Clover Hill,"20 Columbia Pl, Brooklyn, NY 11201, USA",4.6,http://cloverhillbk.com/,1,New York City,NY,http://cloverhillbk.com/
Estela,"47 E Houston St 1st floor, New York, NY 10012, USA",4.5,http://estelanyc.com/,3,New York City,NY,http://estelanyc.com/
Frenchette,"241 W Broadway, New York, NY 10013, USA",4.3,http://frenchettenyc.com/,3,New York City,NY,http://frenchettenyc.com/
Frevo,"48 W 8th St, New York, NY 10011, USA",4.8,http://frevonyc.com/,4,New York City,NY,http://frevonyc.com/
Gallaghers Steakhouse,"228 W 52nd St, New York, NY 10019, USA",4.6,http://gallaghersnysteakhouse.com/,4,New York City,NY,http://gallaghersnysteakhouse.com/
Gotham Restaurant,"12 E 12th St, New York, NY 10003, USA",4.5,http://gotham.restaurant/,4,New York City,NY,http://gotham.restaurant/
Raoul's,"180 Prince St, New York, NY 10012, USA",4.5,http://raouls.com/,3,New York City,NY,http://raouls.com/
Hearth,"403 E 12th St, New York, NY 10009, USA",4.4,http://restauranthearth.com/,2,New York City,NY,http://restauranthearth.com/
Via Carota,"51 Grove St, New York, NY 10014, USA",4.4,http://viacarota.com/,3,New York City,NY,http://viacarota.com/
Atera,"77 Worth St, New York, NY 10013, USA",4.6,http://www.ateranyc.com/,4,New York City,NY,http://www.ateranyc.com/
Atoboy,"43 E 28th St, New York, NY 10016, USA",4.5,http://www.atoboynyc.com/,2,New York City,NY,http://www.atoboynyc.com/
Balthazar,"80 Spring St, New York, NY 10012, USA",4.4,http://www.balthazarny.com/,3,New York City,NY,http://www.balthazarny.com/
Buddakan,"75 9th Ave, New York, NY 10011, USA",4.4,http://www.buddakannyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,3,New York City,NY,http://www.buddakannyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
Dirt Candy,"86 Allen St, New York, NY 10002, USA",4.6,http://www.dirtcandynyc.com/,2,New York City,NY,http://www.dirtcandynyc.com/
Freemans,"Freeman Alley, New York, NY 10002, USA",4.4,http://www.freemansrestaurant.com/,2,New York City,NY,http://www.freemansrestaurant.com/
Gramercy Tavern,"42 E 20th St, New York, NY 10003, USA",4.6,http://www.gramercytavern.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,4,New York City,NY,http://www.gramercytavern.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
La Mela,"167 Mulberry St, New York, NY 10013, USA",4.4,http://www.lamelarestaurant.com/,2,New York City,NY,http://www.lamelarestaurant.com/
LOS TACOS No.1,"229 West 43rd St, New York, NY 10036, USA",4.8,http://www.lostacos1.com/,1,New York City,NY,http://www.lostacos1.com/
Forgione,"30 Hudson St, New York, NY 10013, USA",4.6,http://www.marcforgione.com/,3,New York City,NY,http://www.marcforgione.com/
Olmsted,"659 Vanderbilt Ave, Brooklyn, NY 11238, USA",4.4,http://www.olmstednyc.com/,3,New York City,NY,http://www.olmstednyc.com/
Piccola Cucina Osteria Siciliana,"196 Spring St, New York, NY 10012, USA",4.6,http://www.piccolacucinagroup.com/,2,New York City,NY,http://www.piccolacucinagroup.com/
Piccola Cucina Estiatorio,"75 Thompson St, New York, NY 10012, USA",4.7,http://www.piccolacucinagroup.com/,2,New York City,NY,http://www.piccolacucinagroup.com/
RH Rooftop Restaurant New York,"9 9th Ave, New York, NY 10014, USA",4.4,http://www.rh.com/newyork/restaurant,1,New York City,NY,http://www.rh.com/newyork/restaurant
Sylvia's Restaurant,"328 Malcolm X Blvd, New York, NY 10027, USA",4.3,http://www.sylviasrestaurant.com/,2,New York City,NY,http://www.sylviasrestaurant.com/
The Dutch,"131 Sullivan St, New York, NY 10012, USA",4.3,http://www.thedutchnyc.com/,3,New York City,NY,http://www.thedutchnyc.com/
Tiny's & The Bar Upstairs,"135 W Broadway, New York, NY 10013, USA",4.4,http://www.tinysnyc.com/,2,New York City,NY,http://www.tinysnyc.com/
Trinity Place,"115 Broadway, New York, NY 10006, USA",4.4,http://www.trinityplacenyc.com/,2,New York City,NY,http://www.trinityplacenyc.com/
1803 NYC,"82 Reade St, New York, NY 10007, USA",4.5,https://1803nyc.com/,3,New York City,NY,https://1803nyc.com/
53,"53 W 53rd St, New York, NY 10019, USA",4.3,https://53-nyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,3,New York City,NY,https://53-nyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
Hard Rock Cafe,"1501 Broadway, New York, NY 10036, USA",4.4,https://cafe.hardrock.com/new-york/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,2,New York City,NY,https://cafe.hardrock.com/new-york/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings
Katz's Delicatessen,"205 E Houston St, New York, NY 10002, USA",4.5,https://katzsdelicatessen.com/,2,New York City,NY,https://katzsdelicatessen.com/
ROBERT,"2 Columbus Cir, New York, NY 10019, USA",4.5,https://robertnyc.com/,3,New York City,NY,https://robertnyc.com/
Upland,"345 Park Ave S, New York, NY 10010, USA",4.5,https://uplandnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,3,New York City,NY,https://uplandnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
abc kitchen,"35 E 18th St, New York, NY 10003, USA",4.4,https://www.abckitchen.nyc/,3,New York City,NY,https://www.abckitchen.nyc/
Blue Ribbon Brasserie,"97 Sullivan St, New York, NY 10012, USA",4.6,https://www.blueribbonbrasserie.com/,2,New York City,NY,https://www.blueribbonbrasserie.com/
Boucherie Union Square,"225 Park Ave S, New York, NY 10003, USA",4.7,https://www.boucherieus.com/,3,New York City,NY,https://www.boucherieus.com/
Boucherie West Village,"99 7th Ave S, New York, NY 10014, USA",4.7,https://www.boucherieus.com/,3,New York City,NY,https://www.boucherieus.com/
La Grande Boucherie,"145 W 53rd St, New York, NY 10019, USA",4.6,https://www.boucherieus.com/,2,New York City,NY,https://www.boucherieus.com/
Petite Boucherie,"First Floor, 14 Christopher St, New York, NY 10014, USA",4.7,https://www.boucherieus.com/,2,New York City,NY,https://www.boucherieus.com/
Brooklyn Chop House Steakhouse Downtown NYC,"150 Nassau St, New York, NY 10038, USA",4.2,https://www.brooklynchophouse.com/,3,New York City,NY,https://www.brooklynchophouse.com/
Butcher and Banker NYC,"Vault Level, 481 8th Ave, New York, NY 10001, USA",4.1,https://www.butcherandbankernyc.com/,4,New York City,NY,https://www.butcherandbankernyc.com/
Carmine's,"200 W 44th St, New York, NY 10036, USA",4.5,https://www.carminesnyc.com/locations/times-square,2,New York City,NY,https://www.carminesnyc.com/locations/times-square
COTE Korean Steakhouse,"16 W 22nd St, New York, NY 10010, USA",4.6,https://www.cotekoreansteakhouse.com/,4,New York City,NY,https://www.cotekoreansteakhouse.com/
Crown Shy,"70 Pine St Ground Floor, New York, NY 10005, USA",4.5,https://www.crownshy.nyc/,3,New York City,NY,https://www.crownshy.nyc/
Eataly NYC Downtown,"101 Liberty St, New York, NY 10007, USA",4.2,https://www.eataly.com/us_en/stores/nyc-downtown/restaurants,2,New York City,NY,https://www.eataly.com/us_en/stores/nyc-downtown/restaurants
Ellen's Stardust Diner,"1650 Broadway, New York, NY 10019, USA",4.4,https://www.ellensstardustdiner.com/,2,New York City,NY,https://www.ellensstardustdiner.com/
Harry's,"1 Hanover Square, New York, NY 10004, USA",4.5,https://www.harrysbarrestaurant.com/,3,New York City,NY,https://www.harrysbarrestaurant.com/
Junior's Restaurant & Bakery,"1515 Broadway, W 45th St, New York, NY 10036, USA",4.4,https://www.juniorscheesecake.com/blog/restaurants/times-square/,2,New York City,NY,https://www.juniorscheesecake.com/blog/restaurants/times-square/
Junoon,"19 W 24th St, New York, NY 10010, USA",4.3,https://www.junoonnyc.com/,4,New York City,NY,https://www.junoonnyc.com/
Le Bernardin,"155 W 51st St, New York, NY 10019, USA",4.6,https://www.le-bernardin.com/home,4,New York City,NY,https://www.le-bernardin.com/home
Le Coucou,"138 Lafayette St, New York, NY 10013, USA",4.5,https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,4,New York City,NY,https://www.lecoucou.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
LOS TACOS No.1,"75 9th Ave, New York, NY 10011, USA",4.7,https://www.lostacos1.com/,1,New York City,NY,https://www.lostacos1.com/
Manhatta,"28 Liberty St 60th floor, New York, NY 10005, USA",4.7,https://www.manhattarestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,4,New York City,NY,https://www.manhattarestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs
Nobu Downtown,"195 Broadway, New York, NY 10007, USA",4.4,https://www.noburestaurants.com/downtown/home/?utm_source=google&utm_medium=Yext,4,New York City,NY,https://www.noburestaurants.com/downtown/home/?utm_source=google&utm_medium=Yext
OLIO E PIÙ,"3 Greenwich Ave, New York, NY 10014, USA",4.7,https://www.olioepiu.com/,2,New York City,NY,https://www.olioepiu.com/
